-------------------------------------------------------------------
Date: 7/2/2013 -- 15:29:17 (uptime: 0d, 00h 00m 28s)
-------------------------------------------------------------------
Counter                   | TM Name                   | Value
decoder.icmpv4            | AFPacketeth39             | 4620
decoder.icmpv6            | AFPacketeth39             | 2429
decoder.ppp               | AFPacketeth39             | 121
decoder.pppoe             | AFPacketeth39             | 0
decoder.gre               | AFPacketeth39             | 163
decoder.vlan              | AFPacketeth39             | 0
decoder.teredo            | AFPacketeth39             | 49358
decoder.ipv4_in_ipv6      | AFPacketeth39             | 0
decoder.ipv6_in_ipv6      | AFPacketeth39             | 0
decoder.avg_pkt_size      | AFPacketeth39             | 824
decoder.max_pkt_size      | AFPacketeth39             | 1514
defrag.ipv4.fragments     | AFPacketeth39             | 8256
defrag.ipv4.reassembled   | AFPacketeth39             | 1779
defrag.ipv4.timeouts      | AFPacketeth39             | 0
defrag.ipv6.fragments     | AFPacketeth39             | 2584
defrag.ipv6.reassembled   | AFPacketeth39             | 750
defrag.ipv6.timeouts      | AFPacketeth39             | 0
defrag.max_frag_hits      | AFPacketeth39             | 0
tcp.sessions              | AFPacketeth39             | 21435
tcp.ssn_memcap_drop       | AFPacketeth39             | 0
tcp.pseudo                | AFPacketeth39             | 223
tcp.invalid_checksum      | AFPacketeth39             | 0
tcp.no_flow               | AFPacketeth39             | 0
tcp.reused_ssn            | AFPacketeth39             | 8
tcp.memuse                | AFPacketeth39             | 47304560
tcp.syn                   | AFPacketeth39             | 16554
tcp.synack                | AFPacketeth39             | 5863
tcp.rst                   | AFPacketeth39             | 3921
tcp.segment_memcap_drop   | AFPacketeth39             | 175035
tcp.stream_depth_reached  | AFPacketeth39             | 0
tcp.reassembly_memuse     | AFPacketeth39             | 17179919069
tcp.reassembly_gap        | AFPacketeth39             | 82
detect.alert              | AFPacketeth39             | 12
capture.kernel_packets    | AFPacketeth310            | 1645272
capture.kernel_drops      | AFPacketeth310            | 445282
decoder.pkts              | AFPacketeth310            | 900060
decoder.bytes             | AFPacketeth310            | 750410784
decoder.ipv4              | AFPacketeth310            | 900929
decoder.ipv6              | AFPacketeth310            | 44626
decoder.ethernet          | AFPacketeth310            | 900060
decoder.raw               | AFPacketeth310            | 0
decoder.sll               | AFPacketeth310            | 0
decoder.tcp               | AFPacketeth310            | 398463
decoder.udp               | AFPacketeth310            | 531229
decoder.sctp              | AFPacketeth310            | 0
decoder.icmpv4            | AFPacketeth310            | 3827
decoder.icmpv6            | AFPacketeth310            | 1265
decoder.ppp               | AFPacketeth310            | 59
